cosmos  n.宇宙；秩序，和谐
costal  a.肋骨的
costume  n.服装，戏装
cottage  n.村舍，别墅
council  n.理事会，委员会，议事机构
counsel  n.商议；忠告；法律顾问，辩护人v．劝告，忠告
countenance  a.面部表情；脸色
county  n.郡，县
courteous  a.有礼貌的
courtesy  n.礼貌；殷勤；好意
cousin  n.堂(表)兄弟，堂(表)姐妹
covert  a.隐藏的；暗地里的
coward  n.懦夫
cozy  n.暖和舒服的；舒适的
crack  n.裂纹，龟裂v．破裂，砸开；发爆炸声
cradle  n.摇篮；婴儿时期
cramp  n.夹，钳；(病性)痉挛，绞痛
crane  n.鹤；起重机v．伸(颈)；用起重机起吊
cranium  v.头盖(骨)；颅
crave  v.渴望，热望
credulous  a.轻信的
creed  n.信条；信念,纲领
cripple  n.跛子；残废的人(或动物)
crisis  n.危机
crisp  a.松脆的；清新的，爽快的；干脆的v．使发脆
criterion  n.标准，准则
criticism  n.批评；评论
criticize  v.批评；评论
crook  n.钩；钩状物
crooked  a.弯的，歪的；扭曲的,不正当的
crotherapy  n.冷冻疗法
crown  n.王冠；牙冠
crucial  a.决定性的，紧要关头的；严酷的，极困难的
cruel  a.残酷的，残忍的
cruelty  n.残酷，残忍；残酷行为
cruise  v.巡航；巡游；(出租汽车)兜客n.巡航，巡游
crumb  n.碎屑；面包屑；点，滴，少许v．弄碎
crumple  v.把…弄皱；打垮
crust  n.面包皮；外壳;痂皮
crutch  n.拐杖；支柱v.支撑
crux  a.十字形；难事,关键,最重要点
cuckoo  n.杜鹃，布谷鸟
cucumber  n.黄瓜
cue  n.(人或车等候着的)长队；发辫
cuff  n.袖口；护腕
cultivate  v.耕作，栽培，养殖；培养
cultural  a.文化的；教养的；栽培的
cunning  a.／n.狡猾(的)，狡诈(的)
cupboard  n.碗柜，木橱
curb  n.／v.控制、抑制、约束
curiosity  n.好奇心；珍品；古玩
curl  v.卷曲，蜷缩n.卷发
curriculum  n.学校的全部课程；(一门)课程
curse  v.诅咒,咒骂
curtain  n.窗帘,幕(布)
curve  v.弄弯,使成曲线n.曲线，弯曲
cushion  n.垫子，坐垫
cusp  n.尖，尖端
customary  a.通常的，常例的，习惯的
cutaneous  a.皮的
cute  a.伶俐的，逗人爱的
cylinder  n.圆柱体，圆筒；气缸
cyst  n.囊(肿)
cytogenetics  n.细胞遗传学
cytology  n.细胞学
dagger  n.匕首；短剑；剑号
dairy  n.牛奶场，奶店
damn  n.／v．诅咒
dander  n.头皮屑；怒火
dandruff  n.头垢；头皮屑
dangle  v.摇晃地悬挂着
datum  n.(p1．)资料，材料
debris  n.瓦砾堆，废墟,碎片
decay  v.／n.腐朽，腐烂，衰败
deceit  n.欺骗；虚假；欺骗行为
deceive  v.欺骗，蒙蔽
decendant  n.子孙，后代
decent  a.体面的，像样的,相当好的;正派的，得体的
deception  n.欺骗，蒙蔽；骗术
decibel  n.分贝
deciliter(decilitre)  n.分升，十分之一升
decimal  a.小数的，十进制的
deck  n.甲板；桥面；层面
